행정구역코드,행정구역명,행정구역레벨,성별,총 이동 전입,총 이동 전출,시군구내 전입,시군구내 전출,시군구간 전입,시군구간 전출,시도간 전입,시도간 전출,순이동
3120052000,울산광역시 북구 농소2동,읍면동,여자,"2,131","2,132",789,676,732,477,610,979,-1
3120053000,울산광역시 북구 농소3동,읍면동,남자,"1,500","1,802",412,493,578,474,510,835,-302
3120053000,울산광역시 북구 농소3동,읍면동,여자,"1,369","1,790",352,494,497,446,520,850,-421
3120054000,울산광역시 북구 강동동,읍면동,남자,"1,228",960,214,154,576,376,438,430,268
3120054000,울산광역시 북구 강동동,읍면동,여자,"1,175",916,204,147,528,376,443,393,259
3120056000,울산광역시 북구 효문동,읍면동,남자,"2,360","2,565",470,724,"1,148",958,742,883,-205
3120056000,울산광역시 북구 효문동,읍면동,여자,"1,798","2,125",390,637,931,865,477,623,-327
3120057000,울산광역시 북구 송정동,읍면동,남자,"2,522","1,537",805,381,"1,195",502,522,654,985
3120057000,울산광역시 북구 송정동,읍면동,여자,"2,409","1,448",763,371,"1,157",483,489,594,961
3120058000,울산광역시 북구 양정동,읍면동,남자,879,959,143,300,195,296,541,363,-80
3120058000,울산광역시 북구 양정동,읍면동,여자,453,663,114,200,168,255,171,208,-210
3120059000,울산광역시 북구 염포동,읍면동,남자,613,754,148,194,211,254,254,306,-141
3120059000,울산광역시 북구 염포동,읍면동,여자,384,572,98,161,165,221,121,190,-188
3171025000,울산광역시 울주군 온산읍,읍면동,남자,"1,621","1,736",292,396,479,446,850,894,-115
3171025000,울산광역시 울주군 온산읍,읍면동,여자,892,"1,085",216,330,293,303,383,452,-193
3171025300,울산광역시 울주군 언양읍,읍면동,남자,"1,589","1,514",565,495,407,305,617,714,75
3171025300,울산광역시 울주군 언양읍,읍면동,여자,"1,404","1,356",523,509,357,265,524,582,48
3171025600,울산광역시 울주군 온양읍,읍면동,남자,"1,467","1,559",444,353,405,412,618,794,-92
3171025600,울산광역시 울주군 온양읍,읍면동,여자,"1,293","1,448",384,304,373,380,536,764,-155
3171025900,울산광역시 울주군 범서읍,읍면동,남자,"2,882","3,440",329,461,"1,495","1,458","1,058","1,521",-558
3171025900,울산광역시 울주군 범서읍,읍면동,여자,"2,770","3,160",301,398,"1,570","1,372",899,"1,390",-390
3171026200,울산광역시 울주군 청량읍,읍면동,남자,"1,183","1,120",185,187,674,561,324,372,63
3171026200,울산광역시 울주군 청량읍,읍면동,여자,"1,037","1,056",177,146,627,520,233,390,-19
3171026500,울산광역시 울주군 삼남읍,읍면동,남자,"1,775","1,462",544,448,476,299,755,715,313
3171026500,울산광역시 울주군 삼남읍,읍면동,여자,"1,528","1,230",521,394,433,261,574,575,298
3171031000,울산광역시 울주군 서생면,읍면동,남자,673,705,103,115,99,93,471,497,-32
3171031000,울산광역시 울주군 서생면,읍면동,여자,477,538,89,102,76,65,312,371,-61
3171034000,울산광역시 울주군 웅촌면,읍면동,남자,426,440,65,53,138,119,223,268,-14
3171034000,울산광역시 울주군 웅촌면,읍면동,여자,388,434,62,81,156,99,170,254,-46
3171036000,울산광역시 울주군 두동면,읍면동,남자,274,236,77,61,104,86,93,89,38
3171036000,울산광역시 울주군 두동면,읍면동,여자,218,164,59,47,91,58,68,59,54
3171037000,울산광역시 울주군 두서면,읍면동,남자,166,152,49,49,73,35,44,68,14
3171037000,울산광역시 울주군 두서면,읍면동,여자,155,123,46,47,78,28,31,48,32
3171038000,울산광역시 울주군 상북면,읍면동,남자,524,479,148,177,168,100,208,202,45
3171038000,울산광역시 울주군 상북면,읍면동,여자,464,469,145,178,135,93,184,198,-5
3171040000,울산광역시 울주군 삼동면,읍면동,남자,96,115,32,38,26,29,38,48,-19
3171040000,울산광역시 울주군 삼동면,읍면동,여자,102,80,44,31,28,17,30,32,22
